Component, Timestamp, rss, Heap total, Heap used, External
../ETL/SenMLParse.js,1530743590911,72396800,37036032,33308360,36246451
./Accumulator.js,1530743591146,80617472,38084608,34093616,36252924
./BlockWindowAverage.js,1530743591292,59830272,36511744,33606912,36269905
./SimpleLinearRegression.js,1530743591867,79486976,37560320,33950520,36255315
./DistinctApproxCount.js,1530743592209,75153408,37036032,34022976,36252620
../ETL/ETLSenMLSpout.js,1530743592406,66375680,39133184,35282920,36373806
../ETL/SenMLParse.js,1530743592774,72699904,37036032,33629696,36252081
./BlockWindowAverage.js,1530743592778,59949056,36511744,33696776,36274515
./Accumulator.js,1530743592843,81498112,38084608,33884568,36250380
./DistinctApproxCount.js,1530743593101,75370496,37036032,34238064,36256223
../ETL/ETLSenMLSpout.js,1530743593170,66383872,39133184,35289424,36373907
./SimpleLinearRegression.js,1530743593182,79998976,37560320,34318584,36264718
./KalmanFilter.js,1530743593382,69095424,37560320,33394104,36246427
./Accumulator.js,1530743593424,82141184,38084608,33426984,36245611
./BlockWindowAverage.js,1530743593563,60256256,36511744,32938352,36244327
../ETL/SenMLParse.js,1530743593844,72974336,37036032,33871216,36256604
./SimpleLinearRegression.js,1530743594071,80367616,37560320,33894536,36255838
./DistinctApproxCount.js,1530743596141,76398592,37036032,34182552,36255427
./KalmanFilter.js,1530743596224,69619712,37560320,33918384,36257028
../ETL/ETLSenMLSpout.js,1530743596227,66588672,39133184,35446056,36374008
./BlockWindowAverage.js,1530743596268,60416000,36511744,33137968,36254928
../ETL/SenMLParse.js,1530743596306,73482240,37036032,33303744,36247458
./Accumulator.js,1530743596426,84000768,38084608,34179944,36253838
./SimpleLinearRegression.js,1530743597993,82513920,37560320,33840000,36251109
./Accumulator.js,1530743598037,56295424,35463168,31653648,36267210
./DistinctApproxCount.js,1530743598327,77139968,37036032,33816832,36249927
./KalmanFilter.js,1530743598331,70270976,38084608,33456088,36246427
../ETL/ETLSenMLSpout.js,1530743598747,67039232,39133184,34769272,36372897
./Accumulator.js,1530743598899,86007808,38608896,34025560,36251185
../ETL/ETLSenMLSpout.js,1530743598907,57286656,43327488,33169768,37835404
./BlockWindowAverage.js,1530743598949,69996544,43327488,32121688,36792828
../ETL/SenMLParse.js,1530743598977,74063872,37036032,33809328,36256410
./SimpleLinearRegression.js,1530743599528,83451904,37560320,34546216,36269793
./BlockWindowAverage.js,1530743599542,60747776,36511744,33401544,36268538
./Accumulator.js,1530743599938,55672832,35463168,31716000,36264122
./DistinctApproxCount.js,1530743600567,77856768,37036032,33440376,36243320
../ETL/SenMLParse.js,1530743601352,54603776,35463168,31229848,36248558
./BlockWindowAverage.js,1530743601916,61059072,36511744,33646696,36280615
../ETL/ETLSenMLSpout.js,1530743602005,67284992,39133184,34926784,36372998
